Stachel	Ort	Ortgeber	Kategorie	BildName	Zitat	Eckpunkte_yxmin_yx_max	png_name	angle_deg	numPoints	lineAngle	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	Wir spielen zu zweit Tischtennis.	1986, 1668, 1930, 1704, 2263, 2213, 2318, 2177	DSC00513.JPG_Blob17.png	-56.806.324	1130	-3,7168	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	Wir wohnen alle in der Nähe, gehen zur “Gutmunds Grundschule”	4362, 1284, 3676, 2205, 3725, 2247, 4417, 1324	DSC00513.JPG_Blob06.png	0.0	1957	0,645	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	Nutzer*innen	1474, 2933, 1464, 2989, 1768, 3047, 1780, 2992	DSC00513.JPG_Blob38.png	-10.801.618	738	-4,522	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	Plansche Singerstrasse	3200, 3350, 2754, 3354, 2755, 3422, 3208, 3417	DSC00513.JPG_Blob39.png	-8.915.747	1040	1,5708	
7	Plansche Singerstrasse	nn	Qualität	DSC00512.JPG	Andere Kinder nerven	4169, 2430, 3807, 2688, 3843, 2741, 4209, 2482	DSC00512.JPG_Blob12.png	0.0	837	0,9582	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Ärgerlich: die kleineren Kinder nerven, denn sie ziehen den Abflussstopp immer heraus, sodaß das Wasser sich nicht stauen kann	5051, 2317, 3877, 2820, 3918, 2920, 5098, 2419	DSC00512.JPG_Blob02.png	0.0	2559	1,1698	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Es gibt schöne Bänke.	2311, 1959, 2253, 1989, 2450, 2376, 2507, 2347	DSC00512.JPG_Blob15.png	-63.021.908	891	-3,6145	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Es ist ein bisschen frischer hier	2000, 1976, 1953, 2014, 2321, 2476, 2372, 2437	DSC00512.JPG_Blob09.png	-51.461.384	1028	-3,8219	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Es ist langweilig, es gibt ja nur das Wasser	4039, 1810, 3576, 2425, 3627, 2468, 4091, 1852	DSC00512.JPG_Blob07.png	0.0	1349	0,6458	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Es waren leider wenig Bäume in der Nähe	4274, 2026, 3707, 2545, 3750, 2595, 4320, 2073	DSC00512.JPG_Blob06.png	0.0	1252	0,8367	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Friedlich, viele Bäume	1905, 2267, 1863, 2315, 2206, 2602, 2246, 2553	DSC00512.JPG_Blob11.png	-3.992.039	792	-4,0133	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Ist vielleicht interessanter für kleinere Kinder	3860, 1630, 3438, 2334, 3494, 2370, 3919, 1661	DSC00512.JPG_Blob05.png	0.0	1530	0,5406	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Leider kann man hier sonst nicht soviel machen, ist ein Problem, dass so viele alte Leute hier wohnen.	5271, 2761, 3930, 2970, 3945, 3076, 5298, 2866	DSC00512.JPG_Blob04.png	0.0	2916	1,415	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Schön grün und ruhig	1768, 2458, 1732, 2511, 2108, 2751, 2143, 2698	DSC00512.JPG_Blob13.png	-32.550.003	865	-4,1387	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Tolle Dusche, das war so ein Peitschendings … so ein Riesenarm. War ein Metallbogen, aus dem das Wasser auf die Kinder niederregnete, höher als heute	2208, 983, 2108, 1020, 2579, 2304, 2678, 2268	DSC00512.JPG_Blob01.png	-6.985.583	2768	-3,4914	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Traurig - wenn kleine Kinder hinfallen, dann oft auf den Kopf	3653, 1265, 3281, 2268, 3338, 2291, 3714, 1289	DSC00512.JPG_Blob03.png	0.0	2130	0,3517	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	viele Kinder	2788, 1969, 2728, 1980, 2774, 2256, 2837, 2244	DSC00512.JPG_Blob16.png	-80.537.674	677	-3,3156	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Wasser ist in 15 Minuten Intervallen an, dann 10 min Pause.	906, 2794, 894, 2852, 2009, 3070, 2023, 3010	DSC00512.JPG_Blob08.png	-11.062.671	2363	-4,5201	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Wir gehen nur hin wenn es heiss ist mit der Klasse	3248, 1309, 3117, 2228, 3178, 2240, 3310, 1322	DSC00512.JPG_Blob10.png	0.0	1970	0,1398	
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Wir mögen das Wasser	1643, 2664, 1619, 2719, 2046, 2899, 2071, 2844	DSC00512.JPG_Blob14.png	-22.857.643	972	-4,3115	
11	Plansche Weydemeyerstr	anonym	nn	DSC03420.JPG	ältere Bewohner weggezogen,	3754, 1863, 3456, 2356, 3511, 2390, 3810, 1899	DSC03420.JPG_Blob06.png	0.0	1100		0,542
11	Plansche Weydemeyerstr	anonym	nn	DSC03420.JPG	ungefähr fünfmal dort gewesen	1502, 2574, 1478, 2631, 2038, 2871, 2064, 2815	DSC03420.JPG_Blob07.png	-2.319.859	1243		-4,3093
11	Plansche Weydemeyerstr	anonym	nn	DSC03420.JPG	Schon seit 1960 deutlich mehr junge Familien	4238, 1914, 3654, 2505, 3698, 2552, 4287, 1958	DSC03420.JPG_Blob03.png	0.0	1325		0,7854
11	Plansche Weydemeyerstr	anonym	nn	DSC03420.JPG	Die Nichte war so temperamentvoll	2071, 1822, 2020, 1857, 2397, 2407, 2449, 2371	DSC03420.JPG_Blob05.png	-5.557.113	1205		-3,7364
11	Plansche Weydemeyerstr	anonym	nn	DSC03420.JPG	habe keinen Lieblingsort	2759, 1745, 2702, 1754, 2783, 2243, 2849, 2231	DSC03420.JPG_Blob10.png	-8.059.468	1106		-3,3002
11	Plansche Weydemeyerstr	anonym	nn	DSC03420.JPG	Mir gefällt die Art und Weise, wie das gebaut ist	1427, 2183, 1394, 2234, 2118, 2704, 2156, 2653	DSC03420.JPG_Blob04.png	-32.990.475	1563		-4,136
11	Plansche Weydemeyerstr	anonym	nn	DSC03420.JPG	1960-1980, ca 90 Minuten	1485, 2884, 1471, 2945, 1998, 3046, 2012, 2986	DSC03420.JPG_Blob08.png	-1.084.923	1185		-4,5197
11	Plansche Weydemeyerstr	anonym	nn	DSC03420.JPG	Sprudelt nur zu bestimmten Zeiten, bei bestimmten Temperaturen	3609, 1131, 3228, 2252, 3289, 2279, 3672, 1153	DSC03420.JPG_Blob02.png	0.0	2378		0,3296
11	Plansche Weydemeyerstr	anonym	nn	DSC03420.JPG	Im Vergleich zur Plansche Singerstr Hat sich nicht viel verändert. Die Struktur ist geblieben	4906, 2063, 3811, 2716, 3865, 2810, 4964, 2157	DSC03420.JPG_Blob01.png	0.0	2384		1,0307
11	Plansche Weydemeyerstr	anonym	nn	DSC03420.JPG	völlig andere Gegend jetzt	4419, 2844, 3918, 2947, 3930, 3008, 4436, 2905	DSC03420.JPG_Blob09.png	0.0	1133		1,3633
11	Plansche Weydemeyerstr	anonym	nn	DSC03420.JPG	war toll	2122, 2356, 2080, 2402, 2237, 2546, 2280, 2499	DSC03420.JPG_Blob11.png	-42.526.966	419		-3,981
